RptDt;TckrSymb;UpdActn;IntrstRateTermTrad;TradQty;NtryTm;TradId;TradgSsnId;TradDt;Mkt
2021-04-22;LREN3;0;0,320;142;103001123;28753003;1;2021-04-22;91
2021-04-22;LREN3;0;0,320;562;103001248;28753005;1;2021-04-22;91
2021-04-22;LREN3;0;0,320;858;103001857;28753006;1;2021-04-22;91
2021-04-22;AMAR3;0;8,640;1384;103010843;28753008;1;2021-04-22;91
2021-04-22;CPLE6;0;30,000;9127;103023125;28752977;1;2021-04-22;91
2021-04-22;CPLE6;0;30,000;90873;103023172;28752978;1;2021-04-22;91
2021-04-22;RDOR3;0;0,300;1798;103040517;28753009;1;2021-04-22;91
2021-04-22;RDOR3;0;0,300;11567;103054424;28753010;1;2021-04-22;91
2021-04-22;BBDC4;0;0,100;9159;103115442;28752051;1;2021-04-22;91
2021-04-22;RDOR3;0;0,300;16635;103121051;28753011;1;2021-04-22;91
2021-04-22;AMAR3;0;8,640;2500;103149929;28753012;1;2021-04-22;91
2021-04-22;STBP3;0;5,740;1700;103153054;28753013;1;2021-04-22;91
2021-04-22;TGMA3;0;2,520;1000;103153710;28753014;1;2021-04-22;91
2021-04-22;TIMS3;0;0,140;1700;103153710;28753015;1;2021-04-22;91
2021-04-22;CPLE6;0;28,130;1800;103201211;28753016;1;2021-04-22;91
2021-04-22;BBDC4;0;0,100;1223;103210696;28752046;1;2021-04-22;91
2021-04-22;BRAP4;0;0,080;1300;103247340;28753017;1;2021-04-22;91
2021-04-22;BBDC4;0;0,100;990;103252418;28752045;1;2021-04-22;91
2021-04-22;BOVA11;0;1,050;324;103254809;28753018;1;2021-04-22;91
2021-04-22;TAEE11;0;2,000;100;103316389;28753019;1;2021-04-22;93
2021-04-22;UGPA3;0;0,230;350000;103324108;28752755;1;2021-04-22;91
2021-04-22;TEND3;0;1,400;300;103337532;28752952;1;2021-04-22;91
2021-04-22;HBOR3;0;6,740;400;103337610;28752951;1;2021-04-22;91
2021-04-22;LOGN3;0;0,600;100;103337720;28752950;1;2021-04-22;91
2021-04-22;B3SA3;0;0,050;200;103337798;28752949;1;2021-04-22;91
2021-04-22;BRPR3;0;0,930;400;103337891;28752948;1;2021-04-22;91
2021-04-22;LOGG3;0;3,400;100;103337985;28752947;1;2021-04-22;91
2021-04-22;TCSA3;0;7,710;100;103338063;28752946;1;2021-04-22;91
2021-04-22;MTRE3;0;4,940;300;103338173;28752945;1;2021-04-22;91
2021-04-22;EGIE3;0;0,830;200;103338266;28752944;1;2021-04-22;91
2021-04-22;BKBR3;0;1,840;100;103338360;28752943;1;2021-04-22;91
2021-04-22;MGLU3;0;0,200;400;103338360;28752953;1;2021-04-22;91
2021-04-22;MOVI3;0;0,400;500;103338454;28752942;1;2021-04-22;91
2021-04-22;VIVA3;0;0,430;100;103338548;28752941;1;2021-04-22;91
2021-04-22;CCPR3;0;5,240;700;103338720;28752939;1;2021-04-22;91
2021-04-22;CAML3;0;0,980;500;103338767;28752938;1;2021-04-22;91
2021-04-22;SAPR11;0;1,440;500;103338938;28752937;1;2021-04-22;91
2021-04-22;ALPA4;0;0,800;300;103339188;28752936;1;2021-04-22;91
2021-04-22;HAPV3;0;1,320;200;103339204;28752935;1;2021-04-22;91
